continente,sett 2020-01-20 media,sett 2020-01-20 stdev,sett 2020-01-20 max,sett 2020-01-20 min,sett 1/27/20 media,sett 1/27/20 stdev,sett 1/27/20 min,sett 1/27/20 max,sett 2/3/20 media,sett 2/3/20 stdev,sett 2/3/20 min,sett 2/3/20 max,sett 2/10/20 media,sett 2/10/20 stdev,sett 2/10/20 min,sett 2/10/20 max,sett 2/17/20 media,sett 2/17/20 stdev,sett 2/17/20 min,sett 2/17/20 max,sett 2/24/20 media,sett 2/24/20 stdev,sett 2/24/20 min,sett 2/24/20 max,sett 3/2/20 media,sett 3/2/20 stdev,sett 3/2/20 min,sett 3/2/20 max,sett 3/9/20 media,sett 3/9/20 stdev,sett 3/9/20 min,sett 3/9/20 max,sett 3/16/20 media,sett 3/16/20 stdev,sett 3/16/20 min,sett 3/16/20 max,sett 3/23/20 media,sett 3/23/20 stdev,sett 3/23/20 min,sett 3/23/20 max,sett 3/30/20 media,sett 3/30/20 stdev,sett 3/30/20 min,sett 3/30/20 max,sett 4/6/20 media,sett 4/6/20 stdev,sett 4/6/20 min,sett 4/6/20 max,sett 4/13/20 media,sett 4/13/20 stdev,sett 4/13/20 min,sett 4/13/20 max,sett 4/20/20 media,sett 4/20/20 stdev,sett 4/20/20 min,sett 4/20/20 max,sett 4/27/20 media,sett 4/27/20 stdev,sett 4/27/20 min,sett 4/27/20 max,sett 5/4/20 media,sett 5/4/20 stdev,sett 5/4/20 min,sett 5/4/20 max,sett 5/11/20 media,sett 5/11/20 stdev,sett 5/11/20 min,sett 5/11/20 max
Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714288,0.3779644730092272,1.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.5345224838248487,1.0,0.0,10.857142857142858,13.752921767495703,39.0,0.0,28.142857142857142,23.926474677147706,68.0,8.0,122.57142857142857,49.16928967983011,202.0,61.0,373.85714285714283,90.29106373543392,460.0,224.0,496.0,130.30860805539032,740.0,327.0,589.8571428571429,87.69536014223438,748.0,494.0,965.5714285714286,221.55575456519375,1226.0,702.0,1217.142857142857,192.24240650060239,1424.0,967.0,1620.2857142857142,275.5774024877671,2030.0,1264.0,2428.714285714286,528.5280548484676,3422.0,1704.0,2749.75,158.16947661711893,2954.0,2616.0
Asia,4.0,1.224744871391589,5.0,2.0,7.857142857142857,3.532165125838609,12.0,2.0,7.571428571428571,6.425396041156863,16.0,0.0,11.142857142857142,7.470577207252718,22.0,3.0,21.571428571428573,12.607631853460067,44.0,10.0,174.42857142857142,131.8646492214108,429.0,36.0,889.8571428571429,300.54917987545656,1374.0,569.0,1365.2857142857142,407.59772418636584,1789.0,666.0,2060.8571428571427,416.27532098016917,2713.0,1493.0,5327.571428571428,1688.976895159005,7005.0,2923.0,8373.714285714286,775.9623518113307,9090.0,6762.0,10510.42857142857,976.8998340230619,11717.0,9316.0,11931.857142857143,720.0200063358028,12913.0,10901.0,12678.0,931.5021918027533,14139.0,11524.0,12308.285714285714,700.0342168507941,13190.0,11439.0,15629.857142857143,1402.7023239175908,17716.0,13988.0,17427.5,987.1968733067719,18188.0,15988.0
Americas,1.2,1.6431676725154982,4.0,0.0,0.8571428571428571,1.4638501094227998,4.0,0.0,0.8571428571428571,1.2149857925879117,3.0,0.0,0.2857142857142857,0.48795003647426666,1.0,0.0,0.5714285714285715,1.1338934190276817,3.0,0.0,12.571428571428571,12.817398889233116,37.0,1.0,77.71428571428571,54.28233072162091,152.0,26.0,514.2857142857143,272.34213426357314,895.0,85.0,5019.142857142857,3138.6068262086933,9212.0,1529.0,17291.0,4696.636420531897,22287.0,11497.0,31740.285714285714,4686.113802654452,36587.0,23249.0,36793.857142857145,3376.761536767214,41442.0,33099.0,36139.71428571428,3868.178025646601,40686.0,31504.0,40749.57142857143,8212.273860045156,56960.0,32786.0,41691.57142857143,5571.131538480097,49658.0,32239.0,42489.57142857143,4948.21620577028,47920.0,34945.0,42483.0,8507.992908632055,52774.0,32510.0
Oceania,0.6,1.3416407864998738,3.0,0.0,0.14285714285714288,0.37796447300922725,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28571428571428575,0.7559289460184544,2.0,0.0,4.571428571428571,4.1576092031015,10.0,0.0,13.714285714285714,9.534398874851098,27.0,0.0,76.42857142857142,70.87984467359097,233.0,37.0,160.28571428571428,73.93401176209834,212.0,0.0,112.71428571428571,72.76838664721167,241.0,0.0,39.57142857142857,18.884359867865463,57.0,0.0,14.285714285714286,8.320943169983511,29.0,6.0,6.428571428571429,3.0472470011002204,12.0,2.0,4.714285714285714,4.535573676110727,12.0,0.0,2.5714285714285716,2.4397501823713332,7.0,0.0,4.5,3.415650255319866,8.0,0.0
Europe,0.6,0.8944271909999159,2.0,0.0,3.142857142857143,2.734262327610589,8.0,0.0,1.8571428571428572,1.7728105208558367,5.0,0.0,1.2857142857142858,1.7994708216848745,5.0,0.0,21.71428571428571,35.122235529240285,93.0,0.0,285.42857142857144,224.22745679544326,735.0,78.0,1410.5714285714287,762.9075647684668,2520.0,515.0,6001.142857142857,4453.714570579313,13926.0,667.0,16214.42857142857,4436.414011982458,21238.0,10631.0,30445.428571428572,5035.404811834657,36214.0,23409.0,33757.42857142857,2783.011429916812,36751.0,29500.0,34891.42857142857,8666.89661599704,52583.0,26887.0,31075.714285714286,6178.57121332232,43037.0,25649.0,24882.85714285714,2069.1081354512326,26742.0,21378.0,22124.571428571428,1412.2877253051586,23663.0,19442.0,24147.714285714286,2924.627481366115,28647.0,20805.0,21680.5,1790.2131158049312,24098.0,20084.0
